team_id,team_name,country,code,founded,national,logo,venue_name,venue_city,venue_capacity,is_host
22,Iran,Iran,IRA,1920,True,https://media.api-sports.io/football/teams/22.png,Imam Reza Stadium,Mashhad,25000,False
23,Saudi Arabia,Saudi-Arabia,SAU,1956,True,https://media.api-sports.io/football/teams/23.png,EGO Stadium,Ad Dammām (Dammam),15000,False
24,Poland,Poland,POL,1919,True,https://media.api-sports.io/football/teams/24.png,Stadion Śląski,Chorzów,55211,False
25,Germany,Germany,GER,1900,True,https://media.api-sports.io/football/teams/25.png,Olympiastadion Berlin,Berlin,74667,False
26,Argentina,Argentina,ARG,1893,True,https://media.api-sports.io/football/teams/26.png,Estadio Alberto José Armando,Ciudad de Buenos Aires,57200,False
27,Portugal,Portugal,POR,1914,True,https://media.api-sports.io/football/teams/27.png,Estádio Nacional,"Jamor, Oeiras",38000,False
28,Tunisia,Tunisia,TUN,1957,True,https://media.api-sports.io/football/teams/28.png,Stade olympique Hammadi-Agrebi,Radès,65000,False
29,Costa Rica,Costa-Rica,COS,1921,True,https://media.api-sports.io/football/teams/29.png,Snapdragon Stadium,"San Diego, California",35000,False
31,Morocco,Morocco,MOR,1955,True,https://media.api-sports.io/football/teams/31.png,Complexe Sportif de Fès,Fès,45000,False
1118,Netherlands,Netherlands,NET,1889,True,https://media.api-sports.io/football/teams/1118.png,Johan Cruijff ArenA,Amsterdam,55885,False
1530,Cameroon,Cameroon,CAM,1959,True,https://media.api-sports.io/football/teams/1530.png,Stade Omnisports de Bafoussam,Bafoussam,20000,False
1569,Qatar,Qatar,QAT,1960,True,https://media.api-sports.io/football/teams/1569.png,Khalifa International Stadium,Al Rayyan (Ar-Rayyan),45857,False
2382,Ecuador,Ecuador,ECU,1925,True,https://media.api-sports.io/football/teams/2382.png,Estadio Rodrigo Paz Delgado,Quito,55104,False
2384,USA,USA,USA,1913,True,https://media.api-sports.io/football/teams/2384.png,GEODIS Park,"Nashville, Tennessee",30109,True
5529,Canada,Canada,CAN,1912,True,https://media.api-sports.io/football/teams/5529.png,BMO Field,"Toronto, Ontario",36045,True
1507,Algeria,Algeria,ALG,1958,True,https://media.api-sports.io/football/teams/1507.png,Stade 5 Juillet 1962,Algiers,64000,False
769,Austria,Austria,AUT,1904,True,https://media.api-sports.io/football/teams/769.png,Ernst Happel Stadion,Vienna,50865,False
1505,Colombia,Colombia,COL,1924,True,https://media.api-sports.io/football/teams/1505.png,Estadio Metropolitano Roberto Meléndez,Barranquilla,46788,False
1508,Egypt,Egypt,EGY,1921,True,https://media.api-sports.io/football/teams/1508.png,Cairo International Stadium,Cairo,74100,False
4728,Indonesia,Indonesia,IND,1930,True,https://media.api-sports.io/football/teams/4728.png,Gelora Bung Karno Stadium,Jakarta,77193,False
768,Italy,Italy,ITA,1898,True,https://media.api-sports.io/football/teams/768.png,Stadio Olimpico,Rome,72698,False
1499,Ivory Coast,Ivory-Coast,CIV,1960,True,https://media.api-sports.io/football/teams/1499.png,Stade de la Paix,Bouaké,40000,False
2383,Jamaica,Jamaica,JAM,1910,True,https://media.api-sports.io/football/teams/2383.png,National Stadium,Kingston,35000,False
1101,New Zealand,New-Zealand,NZL,1891,True,https://media.api-sports.io/football/teams/1101.png,Westpac Stadium,Wellington,34500,False
1506,Nigeria,Nigeria,NGA,1945,True,https://media.api-sports.io/football/teams/1506.png,Godswill Akpabio International Stadium,Uyo,30000,False
1509,Panama,Panama,PAN,1937,True,https://media.api-sports.io/football/teams/1509.png,Estadio Rommel Fernández,Panama City,32000,False
1510,Paraguay,Paraguay,PAR,1906,True,https://media.api-sports.io/football/teams/1510.png,Estadio General Pablo Rojas,Asunción,45000,False
1108,Scotland,Scotland,SCO,1873,True,https://media.api-sports.io/football/teams/1108.png,Hampden Park,Glasgow,52500,False
5040,South Africa,South-Africa,RSA,1991,True,https://media.api-sports.io/football/teams/5040.png,FNB Stadium,Johannesburg,94736,False
32,Ukraine,Ukraine,UKR,1991,True,https://media.api-sports.io/football/teams/32.png,NSC Olimpiyskiy,Kyiv,70050,False
1503,Uzbekistan,Uzbekistan,UZB,1946,True,https://media.api-sports.io/football/teams/1503.png,Milliy Stadium,Tashkent,34000,False
